EmployeeNumber,Department,EnvironmentSatisfaction,JobRole,PerformanceRating,YearsAtCompany,YearsInCurrentRole,MonthlyIncome
1,Sales,Medium,Sales Executive,Excellent,6,4,5993
2,Research & Development,High,Research Scientist,Outstanding,10,7,5130
4,Research & Development,Very High,Laboratory Technician,Excellent,0,0,2090
5,Research & Development,Very High,Research Scientist,Excellent,8,7,2909
7,Research & Development,Low,Laboratory Technician,Excellent,2,2,3468
8,Research & Development,Very High,Laboratory Technician,Excellent,7,7,3068
10,Research & Development,High,Laboratory Technician,Outstanding,1,0,2670
11,Research & Development,Very High,Laboratory Technician,Outstanding,1,0,2693
12,Research & Development,Very High,Manufacturing Director,Outstanding,9,7,9526
13,Research & Development,High,Healthcare Representative,Excellent,7,7,5237
14,Research & Development,Low,Laboratory Technician,Excellent,5,4,2426
15,Research & Development,Very High,Laboratory Technician,Excellent,9,5,4193
16,Research & Development,Low,Research Scientist,Excellent,5,2,2911
18,Research & Development,Medium,Laboratory Technician,Excellent,2,2,2661
19,Research & Development,High,Laboratory Technician,Excellent,4,2,2028
20,Research & Development,Medium,Manufacturing Director,Excellent,10,9,9980
21,Research & Development,Low,Research Scientist,Excellent,6,2,3298
22,Research & Development,Very High,Laboratory Technician,Excellent,1,0,2935
23,Sales,Low,Manager,Excellent,25,8,15427
24,Research & Development,Very High,Research Scientist,Excellent,3,2,3944
26,Research & Development,Low,Manufacturing Director,Excellent,4,2,4011
27,Sales,High,Sales Representative,Outstanding,5,3,3407
28,Research & Development,Low,Research Director,Excellent,12,6,11994
30,Research & Development,High,Research Scientist,Excellent,0,0,1232
31,Research & Development,Medium,Research Scientist,Excellent,4,2,2960
32,Research & Development,High,Manager,Excellent,14,13,19094
33,Research & Development,Medium,Research Scientist,Outstanding,10,2,3919
35,Sales,High,Sales Executive,Excellent,9,7,6825
36,Research & Development,Low,Healthcare Representative,Excellent,22,6,10248
38,Sales,Medium,Manager,Excellent,2,2,18947
39,Research & Development,High,Laboratory Technician,Excellent,1,1,2496
40,Research & Development,Very High,Healthcare Representative,Excellent,4,2,6465
41,Research & Development,Very High,Laboratory Technician,Excellent,10,0,2206
42,Sales,Very High,Sales Representative,Excellent,1,0,2086
